atmosphere,atm_name,scenario,feature,lam_lo_um,lam_hi_um,continuum_ppm,peak_ppm,amplitude_ppm
B,CO₂-dominated (Venus-analog),postflare_cumul,CO_4.67,4.55,4.8,5249.36224623114,5288.408704570956,39.04645833981613
B,CO₂-dominated (Venus-analog),quiescent,O3_9.6,9.0,10.2,5191.368516482931,5226.27287704544,34.90436056250837
B,CO₂-dominated (Venus-analog),postflare_cumul,O3_9.6,9.0,10.2,5191.368568909297,5226.2729685549575,34.904399645660305
B,CO₂-dominated (Venus-analog),quiescent,H2O_6.3,5.8,6.8,5076.799167736086,5090.925413306309,14.126245570222636
B,CO₂-dominated (Venus-analog),postflare_cumul,H2O_6.3,5.8,6.8,5076.797824846296,5090.9252679285155,14.127443082219543
C,Thin remnant / bare rock,quiescent,H2O_1.4,1.35,1.45,4995.676958852505,4995.676958852505,0.0
C,Thin remnant / bare rock,postflare_cumul,H2O_1.4,1.35,1.45,4995.676958852505,4995.676958852505,0.0
C,Thin remnant / bare rock,quiescent,H2O_1.9,1.8,1.95,4995.676958852505,4995.676958852505,0.0
C,Thin remnant / bare rock,postflare_cumul,H2O_1.9,1.8,1.95,4995.676958852505,4995.676958852505,0.0
C,Thin remnant / bare rock,quiescent,CH4_2.3,2.15,2.45,5005.405606357217,4996.199098071811,-9.206508285406017
C,Thin remnant / bare rock,postflare_cumul,CH4_2.3,2.15,2.45,5005.405606357217,4996.199098071811,-9.206508285406017
C,Thin remnant / bare rock,quiescent,CH4_3.3,3.1,3.55,5009.054523011918,4995.676958852505,-13.377564159412941
C,Thin remnant / bare rock,postflare_cumul,CH4_3.3,3.1,3.55,5009.054523011918,4995.676958852505,-13.377564159412941
C,Thin remnant / bare rock,quiescent,CO2_4.3,4.1,4.5,5116.63500157574,5149.668621929713,33.033620353972765
C,Thin remnant / bare rock,postflare_cumul,CO2_4.3,4.1,4.5,5116.63500157574,5149.668621929713,33.033620353972765
C,Thin remnant / bare rock,quiescent,N2O_4.5,4.4,4.65,5124.3120329227795,5144.3573578662235,20.04532494344403
C,Thin remnant / bare rock,postflare_cumul,N2O_4.5,4.4,4.65,5124.3120329227795,5144.3573578662235,20.04532494344403
C,Thin remnant / bare rock,quiescent,CO_4.67,4.55,4.8,5087.529846201957,5126.336299983708,38.80645378175086
C,Thin remnant / bare rock,postflare_cumul,CO_4.67,4.55,4.8,5087.529846201957,5126.336299983708,38.80645378175086
C,Thin remnant / bare rock,quiescent,O3_9.6,9.0,10.2,5032.120316099908,5064.605544057166,32.48522795725785
C,Thin remnant / bare rock,postflare_cumul,O3_9.6,9.0,10.2,5032.120316099908,5064.605544057166,32.48522795725785
C,Thin remnant / bare rock,quiescent,H2O_6.3,5.8,6.8,4995.676958852505,4995.676958852505,0.0
C,Thin remnant / bare rock,postflare_cumul,H2O_6.3,5.8,6.8,4995.676958852505,4995.676958852505,0.0
