wavelength_um,transit_depth,transit_depth_ppm,atmosphere,name,scenario
0.5,0.005025406746787841,5025.406746787841,A,N₂-dominated (Earth-like),vulcan_single
0.505025083542084,0.005024815363390687,5024.815363390687,A,N₂-dominated (Earth-like),vulcan_single
0.5101006700133779,0.0050242303493038334,5024.2303493038335,A,N₂-dominated (Earth-like),vulcan_single
0.5152272669767585,0.005023651764761065,5023.651764761064,A,N₂-dominated (Earth-like),vulcan_single
0.5204053870961941,0.005023079574884092,5023.079574884092,A,N₂-dominated (Earth-like),vulcan_single
0.5256355481880121,0.0050225136352633395,5022.51363526334,A,N₂-dominated (Earth-like),vulcan_single
0.5309182732726798,0.0050219536783436035,5021.953678343603,A,N₂-dominated (Earth-like),vulcan_single
0.5362540906271083,0.005021399301230359,5021.399301230359,A,N₂-dominated (Earth-like),vulcan_single
0.5416435338374793,0.005020849955564765,5020.849955564765,A,N₂-dominated (Earth-like),vulcan_single
0.5470871418526052,0.005020304940118194,5020.304940118194,A,N₂-dominated (Earth-like),vulcan_single
0.5525854590378239,0.0050197633967265995,5019.763396726599,A,N₂-dominated (Earth-like),vulcan_single
0.5581390352294356,0.005019224310120017,5019.224310120017,A,N₂-dominated (Earth-like),vulcan_single
0.5637484257896879,0.00501868651210473,5018.686512104729,A,N₂-dominated (Earth-like),vulcan_single
0.5694141916623109,0.005018148690429388,5018.148690429388,A,N₂-dominated (Earth-like),vulcan_single
0.5751368994286137,0.005017609402518303,5017.609402518303,A,N₂-dominated (Earth-like),vulcan_single
0.5809171213641415,0.005017067094093975,5017.067094093974,A,N₂-dominated (Earth-like),vulcan_single
0.5867554354959051,0.0050165201225456,5016.5201225456,A,N₂-dominated (Earth-like),vulcan_single
0.5926524256601827,0.005015966784739645,5015.966784739645,A,N₂-dominated (Earth-like),vulcan_single
0.5986086815609051,0.005015405348819907,5015.405348819907,A,N₂-dominated (Earth-like),vulcan_single
0.6046247988286257,0.005014834089412649,5014.8340894126495,A,N₂-dominated (Earth-like),vulcan_single
0.6107013790800849,0.005014251332973816,5014.251332973816,A,N₂-dominated (Earth-like),vulcan_single
0.6168390299783716,0.005013781244618413,5013.781244618413,A,N₂-dominated (Earth-like),vulcan_single
0.6230383652936904,0.005031499506451177,5031.499506451177,A,N₂-dominated (Earth-like),vulcan_single
0.6293000049647389,0.005048129344129789,5048.129344129789,A,N₂-dominated (Earth-like),vulcan_single
0.6356245751607024,0.005016651018139564,5016.651018139564,A,N₂-dominated (Earth-like),vulcan_single
0.6420127083438707,0.0050111170092852755,5011.117009285275,A,N₂-dominated (Earth-like),vulcan_single
0.6484650433328859,0.005010434746036894,5010.434746036894,A,N₂-dominated (Earth-like),vulcan_single
0.6549822253666236,0.005009736531680532,5009.736531680532,A,N₂-dominated (Earth-like),vulcan_single
0.6615649061687184,0.00500901970776219,5009.01970776219,A,N₂-dominated (Earth-like),vulcan_single
0.668213744012736,0.005008284693239723,5008.284693239722,A,N₂-dominated (Earth-like),vulcan_single
0.6749294037880016,0.005007574071132807,5007.574071132807,A,N₂-dominated (Earth-like),vulcan_single
0.6817125570660889,0.005033146834100657,5033.1468341006575,A,N₂-dominated (Earth-like),vulcan_single
0.6885638821679786,0.005066115952602423,5066.115952602423,A,N₂-dominated (Earth-like),vulcan_single
0.6954840642318901,0.005021787453172702,5021.787453172702,A,N₂-dominated (Earth-like),vulcan_single
0.7024737952817969,0.005005138389932793,5005.138389932793,A,N₂-dominated (Earth-like),vulcan_single
0.7095337742966287,0.005006988186780647,5006.988186780647,A,N₂-dominated (Earth-like),vulcan_single
0.7166647072801701,0.005009689058908096,5009.689058908096,A,N₂-dominated (Earth-like),vulcan_single
0.7238673073316623,0.005008976263895501,5008.976263895501,A,N₂-dominated (Earth-like),vulcan_single
0.7311422947171122,0.005004623395162749,5004.623395162748,A,N₂-dominated (Earth-like),vulcan_single
0.7384903969413213,0.005001001461215852,5001.001461215852,A,N₂-dominated (Earth-like),vulcan_single
0.7459123488206352,0.005000828059225748,5000.828059225748,A,N₂-dominated (Earth-like),vulcan_single
0.7534088925564268,0.005054894594412545,5054.894594412545,A,N₂-dominated (Earth-like),vulcan_single
0.7609807778093168,0.005092384945718777,5092.384945718777,A,N₂-dominated (Earth-like),vulcan_single
0.7686287617741407,0.0050701094930692865,5070.109493069286,A,N₂-dominated (Earth-like),vulcan_single
0.776353609255668,0.005003266622771816,5003.266622771816,A,N₂-dominated (Earth-like),vulcan_single
0.7841560927450845,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
0.7920369924972409,0.004995815529645003,4995.815529645003,A,N₂-dominated (Earth-like),vulcan_single
0.7999970966086801,0.005000553156887924,5000.553156887924,A,N₂-dominated (Earth-like),vulcan_single
0.8080372010964467,0.005010574439968371,5010.574439968371,A,N₂-dominated (Earth-like),vulcan_single
0.8161581099776894,0.005018054207949238,5018.054207949238,A,N₂-dominated (Earth-like),vulcan_single
0.8243606353500641,0.005017623049533791,5017.62304953379,A,N₂-dominated (Earth-like),vulcan_single
0.8326455974729432,0.00500891644813064,5008.91644813064,A,N₂-dominated (Earth-like),vulcan_single
0.8410138248494432,0.004997013499162513,4997.013499162514,A,N₂-dominated (Earth-like),vulcan_single
0.8494661543092753,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
0.8580034310924293,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
0.8666265089336976,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
0.8753362501480506,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
0.8841335257168677,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
0.8930192153750367,0.004997371256048839,4997.371256048838,A,N₂-dominated (Earth-like),vulcan_single
0.9019942076989285,0.005009478032111942,5009.4780321119415,A,N₂-dominated (Earth-like),vulcan_single
0.9110594001952544,0.00502238054794425,5022.38054794425,A,N₂-dominated (Earth-like),vulcan_single
0.9202156993908187,0.005032907577019661,5032.9075770196605,A,N₂-dominated (Earth-like),vulcan_single
0.929464020923171,0.005039774807079812,5039.7748070798125,A,N₂-dominated (Earth-like),vulcan_single
0.9388052896321716,0.005042484912399741,5042.484912399741,A,N₂-dominated (Earth-like),vulcan_single
0.9482404396524757,0.005040805399281995,5040.805399281995,A,N₂-dominated (Earth-like),vulcan_single
0.9577704145069481,0.00503463371614029,5034.63371614029,A,N₂-dominated (Earth-like),vulcan_single
0.9673961672010158,0.005024059167127097,5024.059167127097,A,N₂-dominated (Earth-like),vulcan_single
0.9771186603179698,0.00500976550572453,5009.76550572453,A,N₂-dominated (Earth-like),vulcan_single
0.9869388661152239,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
0.9968577666215412,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
1.0068763537352383,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
1.0169956293233753,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
1.0272166053219438,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
1.0375403038370612,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
1.0479677572471822,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
1.0585000083063374,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
1.0691381102484092,0.004999494702961857,4999.494702961857,A,N₂-dominated (Earth-like),vulcan_single
1.0798831268924576,0.005015388354918306,5015.388354918306,A,N₂-dominated (Earth-like),vulcan_single
1.0907361327491005,0.005030305826232583,5030.305826232583,A,N₂-dominated (Earth-like),vulcan_single
1.1016982131279685,0.005042798947229461,5042.798947229461,A,N₂-dominated (Earth-like),vulcan_single
1.112770464246234,0.0050523653452803465,5052.365345280346,A,N₂-dominated (Earth-like),vulcan_single
1.1239539933382359,0.005058780401299489,5058.780401299489,A,N₂-dominated (Earth-like),vulcan_single
1.135249918766203,0.005061900240032378,5061.900240032378,A,N₂-dominated (Earth-like),vulcan_single
1.1466593701320915,0.00506160777595216,5061.60777595216,A,N₂-dominated (Earth-like),vulcan_single
1.1581834883905457,0.0050577984717772775,5057.798471777278,A,N₂-dominated (Earth-like),vulcan_single
1.1698234259629954,0.005050380760967457,5050.380760967457,A,N₂-dominated (Earth-like),vulcan_single
1.1815803468528974,0.005039293217190397,5039.293217190397,A,N₂-dominated (Earth-like),vulcan_single
1.1934554267621382,0.005024580846478337,5024.580846478337,A,N₂-dominated (Earth-like),vulcan_single
1.2054498532086049,0.00500678503885809,5006.78503885809,A,N₂-dominated (Earth-like),vulcan_single
1.2175648256449372,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
1.229801555578475,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
1.2421612666924082,0.004995676958852505,4995.676958852505,A,N₂-dominated (Earth-like),vulcan_single
