wavelength_um,transit_depth_ppm,atmosphere,scenario,co_vmr,ch4_vmr,population_factor
0.5,5025.427396633744,A,biosphere_off,1e-07,1.8e-06,0.0
0.505025083542084,5024.838459642995,A,biosphere_off,1e-07,1.8e-06,0.0
0.5101006700133779,5024.256088391335,A,biosphere_off,1e-07,1.8e-06,0.0
0.5152272669767585,5023.680342039434,A,biosphere_off,1e-07,1.8e-06,0.0
0.5204053870961941,5023.111181292401,A,biosphere_off,1e-07,1.8e-06,0.0
0.5256355481880121,5022.54845360926,A,biosphere_off,1e-07,1.8e-06,0.0
0.5309182732726798,5021.99187927794,A,biosphere_off,1e-07,1.8e-06,0.0
0.5362540906271083,5021.441038991197,A,biosphere_off,1e-07,1.8e-06,0.0
0.5416435338374793,5020.895363589259,A,biosphere_off,1e-07,1.8e-06,0.0
0.5470871418526052,5020.354126634511,A,biosphere_off,1e-07,1.8e-06,0.0
0.5525854590378239,5019.8164404484205,A,biosphere_off,1e-07,1.8e-06,0.0
0.5581390352294356,5019.2812561704195,A,biosphere_off,1e-07,1.8e-06,0.0
0.5637484257896879,5018.747368294693,A,biosphere_off,1e-07,1.8e-06,0.0
0.5694141916623109,5018.213424008481,A,biosphere_off,1e-07,1.8e-06,0.0
0.5751368994286137,5017.677937502123,A,biosphere_off,1e-07,1.8e-06,0.0
0.5809171213641415,5017.139309255605,A,biosphere_off,1e-07,1.8e-06,0.0
0.5867554354959051,5016.595850138194,A,biosphere_off,1e-07,1.8e-06,0.0
0.5926524256601827,5016.04580999632,A,biosphere_off,1e-07,1.8e-06,0.0
0.5986086815609051,5015.48741025687,A,biosphere_off,1e-07,1.8e-06,0.0
0.6046247988286257,5014.918879943861,A,biosphere_off,1e-07,1.8e-06,0.0
0.6107013790800849,5014.3385017926785,A,biosphere_off,1e-07,1.8e-06,0.0
0.6168390299783716,5013.869730607835,A,biosphere_off,1e-07,1.8e-06,0.0
0.6230383652936904,5031.529521031513,A,biosphere_off,1e-07,1.8e-06,0.0
0.6293000049647389,5048.140149877222,A,biosphere_off,1e-07,1.8e-06,0.0
0.6356245751607024,5016.720013409891,A,biosphere_off,1e-07,1.8e-06,0.0
0.6420127083438707,5011.209496700427,A,biosphere_off,1e-07,1.8e-06,0.0
0.6484650433328859,5010.526809674793,A,biosphere_off,1e-07,1.8e-06,0.0
0.6549822253666236,5009.827617656539,A,biosphere_off,1e-07,1.8e-06,0.0
0.6615649061687184,5009.109275859091,A,biosphere_off,1e-07,1.8e-06,0.0
0.668213744012736,5008.372210130677,A,biosphere_off,1e-07,1.8e-06,0.0
0.6749294037880016,5007.658806567617,A,biosphere_off,1e-07,1.8e-06,0.0
0.6817125570660889,5033.1636632712225,A,biosphere_off,1e-07,1.8e-06,0.0
0.6885638821679786,5066.118087704813,A,biosphere_off,1e-07,1.8e-06,0.0
0.6954840642318901,5021.814940161746,A,biosphere_off,1e-07,1.8e-06,0.0
0.7024737952817969,5005.205394418602,A,biosphere_off,1e-07,1.8e-06,0.0
0.7095337742966287,5007.0415440869165,A,biosphere_off,1e-07,1.8e-06,0.0
0.7166647072801701,5009.729065152806,A,biosphere_off,1e-07,1.8e-06,0.0
0.7238673073316623,5009.012739301939,A,biosphere_off,1e-07,1.8e-06,0.0
0.7311422947171122,5004.664382973887,A,biosphere_off,1e-07,1.8e-06,0.0
0.7384903969413213,5001.045113503302,A,biosphere_off,1e-07,1.8e-06,0.0
0.7459123488206352,5000.86547030478,A,biosphere_off,1e-07,1.8e-06,0.0
0.7534088925564268,5054.895820388393,A,biosphere_off,1e-07,1.8e-06,0.0
0.7609807778093168,5092.385053911224,A,biosphere_off,1e-07,1.8e-06,0.0
0.7686287617741407,5070.109829487159,A,biosphere_off,1e-07,1.8e-06,0.0
0.776353609255668,5003.281645047445,A,biosphere_off,1e-07,1.8e-06,0.0
0.7841560927450845,4995.676958852505,A,biosphere_off,1e-07,1.8e-06,0.0
0.7920369924972409,4995.830505960372,A,biosphere_off,1e-07,1.8e-06,0.0
0.7999970966086801,5000.56198345604,A,biosphere_off,1e-07,1.8e-06,0.0
0.8080372010964467,5010.578179720742,A,biosphere_off,1e-07,1.8e-06,0.0
0.8161581099776894,5018.05603106554,A,biosphere_off,1e-07,1.8e-06,0.0
0.8243606353500641,5017.624460320215,A,biosphere_off,1e-07,1.8e-06,0.0
0.8326455974729432,5008.918219036239,A,biosphere_off,1e-07,1.8e-06,0.0
