wavelength_um,transit_depth,transit_depth_ppm,atmosphere,name,scenario
0.5,0.005025427396633744,5025.427396633744,A,N₂-dominated (Earth-like),quiescent
0.505025083542084,0.005024838459642995,5024.838459642995,A,N₂-dominated (Earth-like),quiescent
0.5101006700133779,0.0050242560883913346,5024.256088391335,A,N₂-dominated (Earth-like),quiescent
0.5152272669767585,0.005023680342039434,5023.680342039434,A,N₂-dominated (Earth-like),quiescent
0.5204053870961941,0.005023111181292401,5023.111181292401,A,N₂-dominated (Earth-like),quiescent
0.5256355481880121,0.0050225484536092595,5022.54845360926,A,N₂-dominated (Earth-like),quiescent
0.5309182732726798,0.00502199187927794,5021.99187927794,A,N₂-dominated (Earth-like),quiescent
0.5362540906271083,0.005021441038991197,5021.441038991197,A,N₂-dominated (Earth-like),quiescent
0.5416435338374793,0.0050208953635892594,5020.895363589259,A,N₂-dominated (Earth-like),quiescent
0.5470871418526052,0.005020354126634511,5020.354126634511,A,N₂-dominated (Earth-like),quiescent
0.5525854590378239,0.005019816440448421,5019.8164404484205,A,N₂-dominated (Earth-like),quiescent
0.5581390352294356,0.0050192812561704195,5019.2812561704195,A,N₂-dominated (Earth-like),quiescent
0.5637484257896879,0.005018747368294693,5018.747368294693,A,N₂-dominated (Earth-like),quiescent
0.5694141916623109,0.005018213424008481,5018.213424008481,A,N₂-dominated (Earth-like),quiescent
0.5751368994286137,0.005017677937502124,5017.677937502123,A,N₂-dominated (Earth-like),quiescent
0.5809171213641415,0.005017139309255606,5017.139309255605,A,N₂-dominated (Earth-like),quiescent
0.5867554354959051,0.005016595850138194,5016.595850138194,A,N₂-dominated (Earth-like),quiescent
0.5926524256601827,0.005016045809996319,5016.04580999632,A,N₂-dominated (Earth-like),quiescent
0.5986086815609051,0.00501548741025687,5015.48741025687,A,N₂-dominated (Earth-like),quiescent
0.6046247988286257,0.005014918879943861,5014.918879943861,A,N₂-dominated (Earth-like),quiescent
0.6107013790800849,0.005014338501792679,5014.3385017926785,A,N₂-dominated (Earth-like),quiescent
0.6168390299783716,0.0050138697306078344,5013.869730607835,A,N₂-dominated (Earth-like),quiescent
0.6230383652936904,0.005031529521031513,5031.529521031513,A,N₂-dominated (Earth-like),quiescent
0.6293000049647389,0.005048140149877222,5048.140149877222,A,N₂-dominated (Earth-like),quiescent
0.6356245751607024,0.005016720013409891,5016.720013409891,A,N₂-dominated (Earth-like),quiescent
0.6420127083438707,0.005011209496700426,5011.209496700427,A,N₂-dominated (Earth-like),quiescent
0.6484650433328859,0.005010526809674793,5010.526809674793,A,N₂-dominated (Earth-like),quiescent
0.6549822253666236,0.0050098276176565384,5009.827617656539,A,N₂-dominated (Earth-like),quiescent
0.6615649061687184,0.005009109275859091,5009.109275859091,A,N₂-dominated (Earth-like),quiescent
0.668213744012736,0.005008372210130676,5008.372210130677,A,N₂-dominated (Earth-like),quiescent
0.6749294037880016,0.005007658806567617,5007.658806567617,A,N₂-dominated (Earth-like),quiescent
0.6817125570660889,0.005033163663271223,5033.1636632712225,A,N₂-dominated (Earth-like),quiescent
0.6885638821679786,0.005066118087704813,5066.118087704813,A,N₂-dominated (Earth-like),quiescent
0.6954840642318901,0.005021814940161746,5021.814940161746,A,N₂-dominated (Earth-like),quiescent
0.7024737952817969,0.0050052053944186015,5005.205394418602,A,N₂-dominated (Earth-like),quiescent
0.7095337742966287,0.005007041544086916,5007.0415440869165,A,N₂-dominated (Earth-like),quiescent
0.7166647072801701,0.005009729065152805,5009.729065152806,A,N₂-dominated (Earth-like),quiescent
0.7238673073316623,0.005009012739301939,5009.012739301939,A,N₂-dominated (Earth-like),quiescent
0.7311422947171122,0.005004664382973887,5004.664382973887,A,N₂-dominated (Earth-like),quiescent
0.7384903969413213,0.005001045113503301,5001.045113503302,A,N₂-dominated (Earth-like),quiescent
0.7459123488206352,0.00500086547030478,5000.86547030478,A,N₂-dominated (Earth-like),quiescent
0.7534088925564268,0.005054895820388393,5054.895820388393,A,N₂-dominated (Earth-like),quiescent
0.7609807778093168,0.005092385053911224,5092.385053911224,A,N₂-dominated (Earth-like),quiescent
