wavelength_um,transit_depth_ppm,atmosphere,scenario,co_vmr,ch4_vmr,population_factor
0.5,5025.427395806655,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.505025083542084,5024.838458828735,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5101006700133779,5024.256087589763,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5152272669767585,5023.680341250403,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5204053870961941,5023.111180515766,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5256355481880121,5022.548452844877,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5309182732726798,5021.99187852568,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5362540906271083,5021.4410382509295,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5416435338374793,5020.895362860873,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5470871418526052,5020.354125917912,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5525854590378239,5019.816439743525,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5581390352294356,5019.281255477176,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5637484257896879,5018.747367613071,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5694141916623109,5018.213423338483,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5751368994286137,5017.677936843783,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5809171213641415,5017.139308608986,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5867554354959051,5016.595849503405,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5926524256601827,5016.045809373501,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.5986086815609051,5015.487409646206,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.6046247988286257,5014.918879345568,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
0.6107013790800849,5014.338501207014,A,biosphere_on,3.010084283192227e-09,1.7561680639977518e-06,0.999896038317606
