wavelength_nm,flux_quiescent,flux_flare_component,flux_total_flare
0.1,1.3241209677318553e-278,1.3241209677318553e-280,1.3373621774091737e-278
0.10025259970814251,1.3075233275443423e-278,1.3075233275443425e-280,1.3205985608197857e-278
0.10050583748241056,1.2911337360672628e-278,1.2911337360672626e-280,1.3040450734279355e-278
0.10075971493455732,1.274949585443991e-278,1.2749495854439913e-280,1.2876990812984309e-278
0.10101423368040721,1.2589683005069633e-278,1.2589683005069635e-280,1.271557983512033e-278
0.10126939533986631,1.2431873383679127e-278,1.243187338367913e-280,1.255619211751592e-278
0.10152520153693251,1.227604188013268e-278,1.227604188013268e-280,1.2398802298934007e-278
0.10178165389970589,1.2122163699046022e-278,1.2122163699046024e-280,1.2243385336036483e-278
0.10203875406039918,1.1970214355840959e-278,1.197021435584096e-280,1.2089916499399368e-278
0.10229650365534801,1.1820169672849504e-278,1.1820169672849506e-280,1.1938371369577999e-278
0.1025549043250214,1.1672005775466804e-278,1.1672005775466805e-280,1.1788725833221472e-278
0.10281395771403225,1.1525699088352246e-278,1.1525699088352247e-280,1.1640956079235768e-278
0.10307366547114763,1.1381226331678292e-278,1.1381226331678293e-280,1.1495038594995075e-278
0.10333402924929953,1.1238564517426215e-278,1.1238564517426214e-280,1.1350950162600478e-278
0.10359505070559517,1.1097690945728368e-278,1.1097690945728368e-280,1.1208667855185651e-278
0.10385673150132758,1.0958583201256249e-278,1.0958583201256249e-280,1.1068169033268811e-278
0.1041190733019863,1.0821219149653814e-278,1.0821219149653816e-280,1.0929431341150353e-278
0.10438207777726781,1.0685576934015582e-278,1.0685576934015585e-280,1.0792432703355738e-278
0.10464574660108628,1.0551634971408815e-278,1.0551634971408816e-280,1.0657151321122904e-278
0.10491008145158418,1.0419371949439294e-278,1.0419371949439296e-280,1.0523565668933686e-278
0.10517508401114292,1.0288766822860206e-278,1.0288766822860207e-280,1.0391654491088808e-278
0.10544075596639371,1.0159798810223432e-278,1.0159798810223433e-280,1.0261396798325667e-278
0.10570709900822808,1.003244739057295e-278,1.0032447390572952e-280,1.013277186447868e-278
0.10597411483180878,9.90669230017958e-279,9.90669230017958e-281,1.0005759223181375e-278
0.10624180513658053,9.782513529316646e-279,9.782513529316647e-281,9.880338664609813e-279
0.10651017162628088,9.659891319076136e-279,9.659891319076134e-281,9.756490232266897e-279
0.10677921600895096,9.538806158224743e-279,9.538806158224744e-281,9.63419421980699e-279
0.10704893999694642,9.419238780099285e-279,9.419238780099284e-281,9.513431167900277e-279
0.10731934530694834,9.30117015954104e-279,9.301170159541043e-281,9.39418186113645e-279
0.10759043365997414,9.184581509868543e-279,9.184581509868542e-281,9.276427324967228e-279
0.10786220678138851,9.069454279888328e-279,9.06945427988833e-281,9.160148822687212e-279
0.10813466640091436,8.955770150943122e-279,8.955770150943122e-281,9.045327852452553e-279
0.10840781425264395,8.843511033996996e-279,8.843511033996997e-281,8.931946144336966e-279
0.10868165207504982,8.73265906675716e-279,8.73265906675716e-281,8.819985657424732e-279
0.10895618161099585,8.623196610831755e-279,8.623196610831755e-281,8.709428576940073e-279
0.10923140460774845,8.515106248923255e-279,8.515106248923255e-281,8.600257311412487e-279
0.10950732281698757,8.408370782057147e-279,8.408370782057146e-281,8.49245448987772e-279
0.10978393799481795,8.302973226845227e-279,8.302973226845225e-281,8.38600295911368e-279
0.11006125190178022,8.198896812783302e-279,8.198896812783302e-281,8.280885780911135e-279
0.11033926630286212,8.096124979582723e-279,8.096124979582723e-281,8.17708622937855e-279
0.11061798296750973,7.994641374535348e-279,7.994641374535348e-281,8.0745877882807e-279
0.1108974036696388,7.894429849911553e-279,7.894429849911554e-281,7.973374148410668e-279
0.11117753018764594,7.795474460390879e-279,7.79547446039088e-281,7.873429204994788e-279
0.11145836430441998,7.697759460524855e-279,7.697759460524855e-281,7.774737055130104e-279
0.11173990780735334,7.601269302231646e-279,7.601269302231645e-281,7.677281995253963e-279
0.11202216248835342,7.505988632322048e-279,7.505988632322049e-281,7.581048518645269e-279
0.11230513014385393,7.411902290056626e-279,7.411902290056626e-281,7.486021312957193e-279
0.11258881257482638,7.318995304733304e-279,7.318995304733304e-281,7.392185257780637e-279
0.1128732115867915,7.227252893305332e-279,7.227252893305333e-281,7.299525422238385e-279
0.11315832898983083,7.136660458029026e-279,7.136660458029027e-281,7.208027062609317e-279
0.11344416659859809,7.047203584141047e-279,7.047203584141047e-281,7.117675619982459e-279
0.11373072623233085,6.958868037564748e-279,6.958868037564749e-281,7.028456717940396e-279
0.11401800971486205,6.8716397626453385e-279,6.871639762645338e-281,6.940356160271792e-279
0.1143060188746317,6.785504879913312e-279,6.785504879913312e-281,6.8533599287124445e-279
0.11459475554469833,6.700449683876102e-279,6.700449683876102e-281,6.767454180714863e-279
0.11488422156275087,6.616460640837225e-279,6.616460640837226e-281,6.682625247245597e-279
0.11517441877112018,6.5335243867428784e-279,6.533524386742879e-281,6.598859630610307e-279
0.11546534901679087,6.451627725055497e-279,6.451627725055499e-281,6.516144002306052e-279
0.11575701415141301,6.3707576246539585e-279,6.370757624653959e-281,6.434465200900498e-279
0.11604941603131394,6.290901217760127e-279,6.290901217760128e-281,6.353810229937728e-279
0.11634255651751013,6.212045797891329e-279,6.212045797891329e-281,6.274166255870243e-279
0.11663643747571889,6.1341788178386224e-279,6.134178817838622e-281,6.195520606017009e-279
0.11693106077637039,6.057287887670246e-279,6.057287887670246e-281,6.117860766546948e-279
0.11722642829461945,5.981360772760233e-279,5.981360772760232e-281,6.0411743804878356e-279
0.11752254191035755,5.906385391841646e-279,5.906385391841646e-281,5.965449245760062e-279
0.11781940350822477,5.832349815084267e-279,5.832349815084268e-281,5.89067331323511e-279
0.1181170149776218,5.7592422621963304e-279,5.759242262196331e-281,5.816834684818294e-279
0.11841537821272191,5.68705110055013e-279,5.68705110055013e-281,5.743921611555631e-279
0.11871449511248307,5.615764843331042e-279,5.615764843331041e-281,5.671922491764352e-279
0.11901436758066006,5.545372147709769e-279,5.545372147709767e-281,5.600825869186867e-279
0.11931499752581647,5.47586181303755e-279,5.4758618130375505e-281,5.530620431167925e-279
0.11961638686133692,5.407222779063919e-279,5.407222779063919e-281,5.4612950068545585e-279
0.11991853750543928,5.339444124176851e-279,5.339444124176851e-281,5.3928385654186195e-279
0.1202214513811868,5.272515063664934e-279,5.272515063664934e-281,5.325240214301584e-279
0.12052513041650037,5.20642494800137e-279,5.2064249480013696e-281,5.2584891974813836e-279
0.1208295765441708,5.1411632611494206e-279,5.1411632611494216e-281,5.1925748937609145e-279
0.1211347917018712,5.076719618889166e-279,5.076719618889166e-281,5.127486815078057e-279
0.12144077783216918,5.013083767165173e-279,5.013083767165173e-281,5.063214604836825e-279
0.12174753688253923,4.9502455804549405e-279,4.950245580454941e-281,4.99974803625949e-279
0.12205507080537523,4.888195060157721e-279,4.888195060157722e-281,4.937077010759298e-279
0.12236338155800273,4.826922333003605e-279,4.8269223330036054e-281,4.8751915563336415e-279
0.12267247110269157,4.766417649482508e-279,4.766417649482508e-281,4.814081825977333e-279
0.12298234140666817,4.706671382292858e-279,4.706671382292858e-281,4.753738096115787e-279
0.12329299444212824,4.6476740248097454e-279,4.6476740248097445e-281,4.694150765057843e-279
0.1236044321862492,4.58941618957225e-279,4.5894161895722506e-281,4.635310351467973e-279
0.12391665662120287,4.531888606789727e-279,4.531888606789727e-281,4.577207492857624e-279
0.12422966973416799,4.47508212286686e-279,4.475082122866861e-281,4.5198329440955286e-279
0.1245434735173429,4.418987698947158e-279,4.4189876989471587e-281,4.46317757593663e-279
0.12485806996795826,4.3635964094747145e-279,4.363596409474714e-281,4.407232373569462e-279
0.1251734610882897,4.308899440773999e-279,4.3088994407739997e-281,4.3519884351817394e-279
0.1254896488856706,4.254888089647487e-279,4.254888089647487e-281,4.297436970543962e-279
0.12580663537250483,4.201553761990802e-279,4.201553761990802e-281,4.24356929961071e-279
0.1261244225662797,4.148887971425255e-279,4.148887971425255e-281,4.190376851139507e-279
0.12644301248957854,4.096882337947544e-279,4.096882337947545e-281,4.13785116132702e-279
0.12676240717009382,4.0455285865963275e-279,4.0455285865963277e-281,4.0859838724622905e-279
0.12708260864063992,3.994818546135563e-279,3.994818546135563e-281,4.034766731596919e-279
0.12740361893916605,3.944744147754323e-279,3.944744147754323e-281,3.984191589231866e-279
0.12772544010876938,3.895297423782891e-279,3.895297423782891e-281,3.93425039802072e-279
0.1280480741977079,3.8464705064249936e-279,3.846470506424993e-281,3.884935211489243e-279
0.12837152325941337,3.798255626505923e-279,3.798255626505923e-281,3.8362381827709816e-279
0.12869578935250475,3.750645112236272e-279,3.750645112236272e-281,3.7881515633586344e-279
0.12902087454080088,3.70363138799128e-279,3.70363138799128e-281,3.740667701871193e-279
0.12934678089333385,3.657206973105415e-279,3.6572069731054153e-281,3.693779042836469e-279
0.12967351048436215,3.611364480682046e-279,3.611364480682046e-281,3.6474781254888664e-279
0.1300010653933838,3.566096616418105e-279,3.566096616418106e-281,3.6017575825822864e-279
0.13032944770514965,3.521396177443408e-279,3.521396177443408e-281,3.556610139217842e-279
0.13065865950967656,3.4772560511745845e-279,3.4772560511745844e-281,3.51202861168633e-279
0.13098870290226092,3.4336692141833162e-279,3.4336692141833166e-281,3.4680059063251494e-279
0.1313195799834917,3.390628731078831e-279,3.39062873107883e-281,3.4245350183896192e-279
0.13165129285926397,3.3481277534043447e-279,3.348127753404345e-281,3.381609030938388e-279
