time_btjd,flux,flux_err
1570.2644926357204,0.57683635,
1570.3061603011174,0.898732,
1570.3269941349809,0.9653714,
1570.3478279697747,0.976881,
1570.493664833125,1.0634415,
1570.5561663554345,0.99597,
1570.5770001972135,1.0184766,
1570.597834039459,0.9824257,
1570.6186678821687,1.1011026,
1570.6395017253449,1.0046976,
1570.660335568754,1.0437256,
1570.6811694128614,1.1516477,
1570.7020032572009,1.1988287,
1570.7228371020074,1.1594973,
1570.743670947046,1.0503176,
1570.7645047923174,1.0387498,
1570.7853386380543,0.9655122,
1570.8061724842569,0.949128,
1570.8270063304594,1.0156802,
1570.847840176894,0.93359447,
1570.8686740237958,0.99891806,
1570.8895078706973,0.97060627,
1570.910341718064,0.9853002,
1570.9311755654303,1.0103686,
1570.9520094130305,1.0465347,
1570.972843260863,1.0476732,
1570.9936771089278,1.0494615,
1571.014510956994,0.9810109,
1571.0353448052924,1.0201138,
1571.0561786535905,1.000329,
1571.0770125021213,0.944828,
1571.0978463506526,0.9841348,
1571.118680199417,0.9702676,
1571.1395140481804,0.99959064,
1571.160347896945,0.9862288,
1571.1811817459416,0.9904721,
1571.202015594705,1.042399,
1571.2228494437013,1.1323055,
1571.243683292698,1.1287339,
1571.2645171416943,1.0757985,
1571.2853509909241,0.94940305,
1571.306184839922,0.9283252,
1571.3270186889185,0.94790345,
1571.347852537915,0.9426256,
1571.3686863869116,0.9638029,
1571.3895202356755,0.97461367,
1571.4103540846727,0.9160931,
1571.431187933436,0.9599025,
1571.4520217821992,0.9964461,
1571.472855630962,0.9730844,
1571.493689479727,1.0442115,
1571.5145233282574,1.0208137,
1571.5353571767885,0.9999629,
1571.5561910250867,0.96066433,
1571.577024873385,0.9525465,
1571.597858721683,0.986818,
1571.6186925697484,0.9528939,
1571.6395264175803,0.98283213,
1571.6603602654131,0.9806981,
1571.6811941130136,1.0050354,
1571.7020279606131,0.98693645,
1571.7228618079794,1.0296746,
1571.743695655346,1.0848252,
1571.7645295024804,1.1979165,
1571.7853633493814,1.1436249,
1571.8061971962825,1.0717071,
1571.8270310427179,1.006471,
1571.8478648891537,0.93210226,
1571.868698735589,0.971047,
1571.8895325815583,0.9428477,
1571.910366427529,0.96851784,
1571.9312002732654,0.96881485,
1571.95203411877,0.938174,
1571.9728679640416,1.0168927,
1571.99370180908,0.99098104,
1572.0145356538856,1.0416783,
1572.0353694984585,1.076018,
1572.0562033430315,1.0982609,
1572.0770371871386,1.0204425,
1572.0978710312452,0.9790202,
1572.1187048748861,0.9831873,
1572.1395387185275,1.0092078,
1572.1603725617028,0.9813861,
1572.1812064046467,0.932808,
1572.2020402473565,0.9670231,
1572.2228740900664,0.9617147,
1572.2437079323108,0.9861697,
1572.2645417743233,1.0290024,
1572.285375616102,1.1709878,
1572.3062094574157,1.2424759,
1572.3270432987279,1.1598004,
1572.3478771395753,1.0379851,
1572.3687109801908,1.0136092,
1572.3895448205726,1.0042843,
1572.410378660722,0.95537066,
1572.4312125006377,0.9452002,
1572.4520463400877,0.9659179,
1572.4728801793055,0.9621595,
1572.4937140182906,0.98616797,
1572.5145478568095,1.0139645,
1572.5353816950965,0.99914783,
1572.55621553315,1.0614008,
1572.5770493709706,1.0571023,
1572.597883208326,1.0528508,
1572.6395508823366,0.97891444,
1572.6603847187605,0.9671441,
1572.6812185549516,0.98783183,
1572.7020523906765,0.97399545,
1572.722886226169,0.98381704,
1572.7437200614286,0.9950128,
1572.7645538962215,0.9748179,
1572.7853877307825,1.0132271,
1572.806221564878,1.0193557,
1572.8270553987395,1.1489545,
1572.84788923237,1.192066,
1572.8687230655341,1.0963993,
1572.889556898465,1.0082523,
1572.9103907309309,1.0006266,
1572.9312245629303,0.9933018,
1572.952058394697,0.99175,
1572.9728922262316,0.9696863,
1572.9937260573001,0.9400632,
1573.0145598881363,0.9789236,
1573.035393718506,1.0402641,
1573.0562275484103,1.0058666,
1573.077061378082,1.0127562,
1573.097895207288,1.0465102,
1573.1187290362614,1.0550476,
1573.139562864769,1.0712107,
1573.1603966930434,1.00229,
1573.1812305208518,0.9545428,
1573.202064348195,1.0156479,
1573.2228981753055,0.98017156,
1573.243732001951,0.9772545,
1573.2645658283627,0.98711926,
1573.2853996543085,0.94927704,
1573.3062334797892,1.0057063,
1573.3270673050374,1.0164391,
1573.3479011298186,1.0542313,
1573.368734954135,1.2314314,
1573.3895687782185,1.214899,
1573.410402601836,1.1442493,
1573.4312364249886,1.0140394,
1573.4520702479076,1.0157739,
1573.472904070361,1.0086396,
1573.4937378923496,1.0002367,
1573.514571714104,0.939512,
1573.5354055351609,0.9467724,
1573.5562393559853,0.98216045,
1573.5770731765765,0.98784196,
1573.5979069964696,0.9749828,
1573.6187408161286,1.0102528,
1573.639574635323,1.0847487,
1573.6604084542846,1.0281388,
1573.6812422725466,1.046142,
1573.702076090577,1.0300052,
1573.7229099081414,0.97644264,
1573.7437437252397,0.9645835,
1573.7645775421056,0.99554515,
1573.7854113585054,0.98282963,
1573.8062451744395,0.96282995,
1573.8270789899088,0.9902179,
1573.8479128049125,0.99085766,
1573.8687466194497,1.0349514,
1573.889580433754,1.1625242,
1573.9104142475935,1.217452,
1573.9312480609665,1.1836493,
1573.952081873874,1.0759125,
1573.9729156863164,1.0327425,
1573.9937494985256,1.018009,
1574.014583310269,0.98660094,
1574.0354171213135,0.9732024,
1574.0562509321244,0.949434,
1574.077084742471,0.9434353,
1574.0979185523524,0.9731957,
1574.1187523619997,0.9674744,
1574.13958617095,0.9912477,
1574.1604199796666,1.0675211,
1574.1812537876845,1.0646654,
1574.20208759547,1.0565377,
1574.2229214027893,0.99375546,
1574.2437552096435,1.0373175,
1574.2645890160316,1.0266104,
1574.2854228219544,0.98389745,
1574.3062566274116,0.9678697,
1574.3270904324027,0.9375084,
1574.347924236929,0.9745639,
1574.3687580412216,0.9747408,
1574.3895918448156,0.98411775,
1574.410425648178,1.1023847,
1574.4312594508406,1.1407701,
1574.4520932532705,1.1961296,
1574.4729270550024,1.2165331,
1574.493760856501,1.048068,
1574.5145946575344,1.0070642,
1574.5354284578693,0.9827015,
1574.5562622579714,0.99994093,
1574.5770960576078,0.9745776,
1574.5979298567786,0.9736223,
1574.6187636552495,0.95754254,
1574.639597453489,0.9897083,
1574.6604312512636,1.0086249,
1574.68126504857,1.016103,
1574.7020988451786,1.0704333,
1574.7229326415554,1.0213919,
1574.7437664374665,1.0365491,
1574.7646002329116,1.0073602,
