atmosphere,scenario,chi2_reduced,rms_ppm,mean_offset_ppm
C,quiescent,2.049479873178097,54.06690674308055,19.16808544230087
C,postflare_cumul,2.049479873178097,54.06690674308055,19.16808544230087
A,postflare_cumul,6.652410776469531,90.57991850332589,67.49358604445986
A,vulcan_single,6.653454966403843,90.58356692746928,67.511822167445
A,quiescent,6.653810646543189,90.58475250570923,67.51798661606914
B,quiescent,13.373484582958909,136.61314774274678,94.51564093821455
B,postflare_cumul,13.373503581592688,136.61324372233318,94.51573787164514
