time_days,energy_erg,log10_energy,log10_F_NUV,EF_NUV_peak,flare_class,dCO,dSO2,dO3_abiotic,dO2_abiotic
0.5816193103294355,1.4860093435769389e+31,31.172021540145384,5.187746352965731,275.8357653402257,moderate,0.0012130419765246083,-0.00015632390588971932,1.7509854118629245e-09,4.314224470760117e-08
1.7942537775749776,5.223252671204536e+30,30.71794103503777,4.733665847858122,56.472836827882254,micro,0.0006401995087148731,-8.135660935006853e-05,8.135660935006853e-10,2.414064865287868e-08
2.434608930867213,1.1469014314324687e+30,30.059526094776214,4.075250907596561,25.861362661063268,micro,0.00024515054455793664,-3.5267563531759274e-05,3.5267563531759275e-10,9.655519967124343e-09
4.605916593436215,1.5489041104650518e+32,32.19002453229444,6.205749345114782,4483.802168507622,large,0.004851744106033039,-0.0006263242796262602,1.014373362786955e-08,1.8229973804591283e-07
7.113781001275698,7.236518472785853e+30,30.859529675076026,4.875254487896374,631.2030900976828,micro,0.0007251526927378244,-9.126781415274618e-05,9.126781415274618e-10,2.7255598733720228e-08
9.0478758093419,8.421099029885569e+30,30.92536877457177,4.941093587392115,459.94092684693913,micro,0.000764656152435269,-9.587655111744805e-05,9.587655111744805e-10,2.8704058922626524e-08
11.040446205135474,1.2092112444066224e+30,30.08250217701144,4.098226989831787,44.91872380306404,micro,0.000258936193899072,-3.687588928822507e-05,3.6875889288225066e-10,1.0160993776299307e-08
11.043962852084938,2.2906484334091107e+30,30.35995843919084,4.375683252011186,348.21172951819716,micro,0.00042540995120671145,-5.6297827640783e-05,5.6297827640783e-10,1.6265031544246085e-08
12.032656114340304,1.899708014520606e+30,30.278686854938524,4.2944116677588715,219.02474354252266,micro,0.00037664700065532294,-5.060881674312101e-05,5.0608816743121e-10,1.4477056690695172e-08
12.740470543654542,3.6343646517342295e+31,31.56042849982698,5.576153312647326,1162.622652297645,moderate,0.002067537287824118,-0.00027284599379419794,3.3046132505893054e-09,7.033073188531284e-08
13.19086067270861,4.172480378451884e+30,30.62039430303849,4.636119115858843,163.80391129386288,micro,0.000581671469515306,-7.452833811011903e-05,7.452833811011903e-10,2.1994620548894553e-08
15.792747995533558,1.0904859956245654e+31,31.037620092599703,5.053344905420049,172.5777824260238,moderate,0.0009173587919241083,-0.00011600347162601477,1.213379621680197e-09,3.373414337940344e-08
16.952189152742807,2.2510495781478396e+30,30.35238506020661,4.368109873026962,35.40134563445844,micro,0.0004208659238161774,-5.576769111188736e-05,5.576769111188736e-10,1.609841720659317e-08
18.48121938336192,1.4292478214035155e+30,30.15510753889355,4.170832351713898,232.8091256131578,micro,0.00030249941102833877,-4.195826461997285e-05,4.195826461997285e-10,1.1758311737705755e-08
22.22932746973773,3.0633579164701696e+30,30.48619774184964,4.501922554669986,138.21958326749544,micro,0.0005011535328019916,-6.513457882689901e-05,6.513457882689902e-10,1.904229620273969e-08
23.193906863568007,1.0956898119954824e+30,30.03968762348647,4.055412436306817,34.209113914873825,micro,0.00023324746178409014,-3.3878870541477185e-05,3.3878870541477183e-10,9.219073598749973e-09
23.819455042682247,1.13296812502661e+31,31.054217691575857,5.069942504396204,196.9520535857124,moderate,0.000953873509671649,-0.00012098275131886124,1.2797700175848164e-09,3.489597530773428e-08
24.012057746946365,3.982881132071019e+30,30.60019734521024,4.615922158030587,221.94588317469075,micro,0.0005695532948183523,-7.31145510621411e-05,7.31145510621411e-10,2.1550287476672916e-08
30.10067686162212,7.11115549815841e+30,30.85194017537122,4.8676649881915655,95.69903971097632,micro,0.0007205989929149393,-9.07365491734096e-05,9.073654917340959e-10,2.708862974021444e-08
