time_hours,EF_NUV,n_O3_cm3,n_CH4_cm3,n_OH_cm3,vmr_O3,vmr_CH4,vmr_OH,dO3_frac,dCH4_frac,dOH_frac
-1.856928464232116,1.0,88172291723.62508,529036758106.12573,293909.4305141413,2.9999820258768546e-07,1.7999994491708183e-06,1.0000001038215902e-12,-5.991374381852662e-06,-3.06016212001949e-07,1.038215902991501e-07
-1.8439219609804902,1.0,88172243703.85944,529036743388.5024,293909.4332878496,2.999980392048007e-07,1.7999993990954436e-06,1.0000001132588805e-12,-6.535983997834762e-06,-3.338358646493498e-07,1.1325888054789635e-07
-1.8309154577288644,1.0,88172195684.98695,529036728670.8794,293909.43606150727,2.999978758249547e-07,1.79999934902007e-06,1.0000001226959983e-12,-7.08058348418781e-06,-3.6165551660452875e-07,1.2269599849638616e-07
-1.8179089544772387,1.0,88172147667.0076,529036713953.2566,293909.4388351141,2.999977124481476e-07,1.7999992989446972e-06,1.0000001321329435e-12,-7.6251728412579185e-06,-3.8947516821359673e-07,1.3213294355048067e-07
-1.8049024512256129,1.0,88172099649.92137,529036699235.6341,293909.4416086702,2.999975490743793e-07,1.7999992488693253e-06,1.0000001415697157e-12,-8.169752069045087e-06,-4.1729481924581315e-07,1.415697159082262e-07
-1.7918959479739869,1.0,88172051633.72824,529036684518.0119,293909.4443821756,2.999973857036496e-07,1.7999991987939544e-06,1.0000001510063156e-12,-8.714321167895426e-06,-4.45114469701178e-07,1.5100631576766898e-07
-1.778889444722361,1.0,88172003618.42819,529036669800.38995,293909.4471556303,2.999972223359586e-07,1.7999991487185846e-06,1.0000001604427427e-12,-9.258880137981991e-06,-4.729341196950616e-07,1.6044274293076278e-07
-1.7658829414707353,1.0,88171955604.02122,529036655082.76825,293909.4499290342,2.999970589713062e-07,1.7999990986432155e-06,1.0000001698789974e-12,-9.803428979304784e-06,-5.007537692274639e-07,1.6987899759555384e-07
-1.7528764382191095,1.0,88171907590.50731,529036640365.14685,293909.45270238735,2.9999689560969236e-07,1.7999990485678474e-06,1.0000001793150792e-12,-1.0347967692209913e-05,-5.285734181830146e-07,1.7931507936594964e-07
-1.7398699349674838,1.0,88171859577.88643,529036625647.5257,293909.4554756898,2.9999673225111694e-07,1.79999899849248e-06,1.0000001887509886e-12,-1.0892496276870434e-05,-5.563930666770841e-07,1.887509886380427e-07
